decision_date,positions,turnover,n_pos,ret_excess,ret_excess_net
2018-01-12,8,0.5,8,-0.005883928759887497,-0.006383928759887497
2018-01-19,8,0.75,8,0.001974845263516656,0.0014748452635166553
2018-02-02,8,0.75,8,-0.004416498771613209,-0.004916498771613209
2018-02-09,8,0.5,8,-0.016791092083278683,-0.017291092083278684
2018-02-16,8,0.5,8,-0.012165154703165107,-0.012665154703165107
2018-02-23,8,0.25,8,0.002218983816222278,0.0017189838162222776
2018-03-09,8,0.75,8,-0.013040210536421043,-0.013540210536421043
2018-03-16,8,0.25,8,-0.016841005188956315,-0.017341005188956315
2018-03-23,8,0.5,8,-0.023772352131805424,-0.024272352131805425
2018-04-06,8,0.5,8,-0.02082765538865007,-0.02132765538865007
2018-04-13,8,0.0,8,-0.021660147499702964,-0.022160147499702965
2018-04-20,8,0.0,8,-0.021102421861313322,-0.021602421861313323
2018-04-27,8,0.25,8,-0.019384439012477814,-0.019884439012477814
2018-05-04,8,0.25,8,-0.02109773431024664,-0.02159773431024664
2018-05-11,8,0.5,8,-0.013483645294797647,-0.013983645294797648
2018-05-18,8,0.25,8,-0.00709619527789071,-0.0075961952778907105
2018-05-25,8,0.0,8,-0.0067966419267054545,-0.007296641926705455
2018-06-01,8,0.25,8,-0.00504555004333479,-0.00554555004333479
2018-06-08,8,0.25,8,-0.00397408453833481,-0.0044740845383348105
2018-06-15,8,0.5,8,-0.005399893126624561,-0.005899893126624561
2018-06-22,8,0.25,8,-0.006085444732875034,-0.006585444732875034
2018-06-29,8,0.0,8,-0.0039029552435028425,-0.004402955243502843
2018-07-06,8,0.5,8,0.0055272711961370236,0.005027271196137023
2018-07-13,8,0.5,8,0.011571749932205444,0.011071749932205444
2018-07-20,8,0.25,8,0.02208442836243657,0.02158442836243657
2018-07-27,8,0.75,8,0.008098794405656098,0.007598794405656098
2018-08-03,8,0.25,8,0.0073723311645406825,0.006872331164540682
2018-08-10,8,0.25,8,0.0010042296432395126,0.0005042296432395121
2018-08-17,8,0.25,8,0.006420899810838376,0.005920899810838376
2018-08-24,8,0.25,8,0.0023614025901008556,0.0018614025901008552
2018-08-31,8,0.5,8,0.005320397053295775,0.004820397053295775
2018-09-07,8,0.0,8,0.006694813112381889,0.006194813112381889
2018-09-14,8,0.25,8,0.006528384300007517,0.006028384300007517
2018-09-21,8,0.5,8,0.007162511185506523,0.006662511185506523
2018-09-28,8,0.5,8,0.012421642287575738,0.011921642287575737
2018-10-05,8,0.25,8,0.002742428004804759,0.0022424280048047585
2018-10-12,8,0.5,8,-0.0038270333060779205,-0.004327033306077921
2018-10-19,8,0.5,8,0.0028428321653466426,0.002342832165346642
2018-10-26,8,0.5,8,-0.0029367344598416334,-0.003436734459841634
2018-11-02,8,0.25,8,0.00792526154301293,0.007425261543012929
2018-11-09,8,0.25,8,0.00837184219315798,0.00787184219315798
2018-11-16,8,0.5,8,0.004882494493710976,0.0043824944937109755
2018-11-30,8,0.25,8,0.0019554911432503735,0.001455491143250373
2018-12-07,8,1.25,8,0.00017632566575098707,-0.0003236743342490134
2018-12-14,8,0.75,8,-0.0031979051894355792,-0.0036979051894355797
2018-12-21,8,0.5,8,-0.004728839983418748,-0.005228839983418748
2018-12-28,8,0.75,8,0.0059595371839294975,0.005459537183929497
2019-01-04,8,0.75,8,-7.993320486968103e-05,-0.0005799332048696815
2019-01-11,8,0.5,8,-0.005104518768709931,-0.005604518768709932
2019-01-18,8,0.75,8,-0.005006223165007095,-0.005506223165007096
2019-01-25,8,0.5,8,0.0007952597898022162,0.0002952597898022158
2019-02-01,8,0.5,8,0.0036965127360705508,0.0031965127360705503
2019-02-08,8,0.75,8,0.015671713817592997,0.015171713817592997
2019-02-15,8,0.75,8,0.013488750230192997,0.012988750230192997
2019-02-22,8,0.25,8,0.031223926627623882,0.030723926627623882
2019-03-01,8,0.75,8,-0.0019985849457532234,-0.002498584945753224
2019-03-08,8,0.5,8,0.0023587117227450993,0.0018587117227450989
2019-03-15,8,0.25,8,0.029436030766459148,0.028936030766459148
2019-03-22,8,0.5,8,0.03057746947607612,0.03007746947607612
2019-03-29,8,0.75,8,0.007445089915587191,0.006945089915587191
2019-04-05,8,0.25,8,0.0075374486148247904,0.00703744861482479
2019-04-12,8,0.5,8,0.013554698416346628,0.013054698416346627
2019-04-26,8,0.5,8,0.014320988463296741,0.01382098846329674
2019-05-03,8,0.5,8,0.005764672206923907,0.005264672206923907
2019-05-10,8,0.25,8,0.031601450927437796,0.031101450927437796
2019-05-17,8,0.0,8,0.026904442545830867,0.026404442545830867
2019-05-24,8,0.25,8,0.02274565701881949,0.02224565701881949
2019-05-31,8,0.25,8,-0.009512393864157712,-0.010012393864157712
2019-06-07,8,0.25,8,0.02391048230244032,0.02341048230244032
2019-06-14,8,0.5,8,-0.005592268650066234,-0.006092268650066235
2019-06-21,8,0.5,8,0.035951121800509744,0.035451121800509744
2019-06-28,8,0.5,8,0.00205032212820333,0.0015503221282033297
2019-07-05,8,0.5,8,0.019796393273158436,0.019296393273158435
2019-07-12,8,0.25,8,0.027410640585553148,0.026910640585553147
2019-07-19,8,0.5,8,0.015470553466897519,0.014970553466897518
2019-07-26,8,0.5,8,0.01600461329585004,0.01550461329585004
2019-08-02,8,0.25,8,0.009747394367009055,0.009247394367009054
2019-08-09,8,0.25,8,0.015526377724926627,0.015026377724926626
2019-08-16,8,0.25,8,0.008423684913115265,0.007923684913115264
2019-08-23,8,0.75,8,0.0035170467456150933,0.003017046745615093
2019-08-30,8,0.5,8,0.009785923256952683,0.009285923256952683
2019-09-06,8,0.5,8,0.013482449143278397,0.012982449143278396
2019-09-13,8,0.25,8,0.0086924981786006,0.008192498178600599
2019-09-20,8,0.75,8,-0.002347160646528762,-0.0028471606465287624
2019-09-27,8,0.5,8,0.0017972945231657655,0.001297294523165765
2019-10-04,8,0.5,8,0.00199339549842828,0.0014933954984282793
2019-10-11,8,0.25,8,0.0019758610955402656,0.0014758610955402651
2019-10-18,8,0.5,8,0.008237038471076208,0.0077370384710762075
2019-10-25,8,0.25,8,0.008201040141645938,0.007701040141645937
2019-11-01,8,0.5,8,0.017486571581156463,0.016986571581156462
2019-11-08,8,0.25,8,0.02337836282462813,0.02287836282462813
2019-11-15,8,0.75,8,0.018279864161587278,0.017779864161587278
2019-11-22,8,0.5,8,0.032629847033924325,0.032129847033924325
2019-11-29,8,0.5,8,-0.007572992667564601,-0.008072992667564602
2019-12-06,8,1.0,8,-0.004660072710721386,-0.005160072710721386
2019-12-13,8,0.5,8,-0.005772348640489353,-0.006272348640489353
2019-12-20,8,0.25,8,-0.03461065581720696,-0.03511065581720696
2019-12-27,8,0.25,8,0.04429277286528424,0.04379277286528424
2020-01-03,8,0.25,8,0.05400319645972308,0.05350319645972308
2020-01-10,8,0.5,8,0.01923854283514105,0.01873854283514105
2020-01-17,8,0.75,8,0.03140510612765379,0.030905106127653792
2020-01-24,8,0.75,8,0.03351181113614156,0.03301181113614156
2020-01-31,8,0.5,8,0.003338764618096318,0.0028387646180963177
2020-02-07,8,0.25,8,-0.000966415736293566,-0.0014664157362935665
2020-02-14,8,0.0,8,-0.00372435072467156,-0.004224350724671561
2020-02-28,7,0.6666666666666666,7,-0.02193303660767256,-0.022504465179101128
2020-03-06,7,0.5714285714285714,7,-0.02127652397699725,-0.02184795254842582
2020-03-13,1,1.5,1,-0.008275251813973039,-0.01227525181397304
2020-03-27,1,0.0,1,-0.012042155983535086,-0.016042155983535086
2020-04-17,1,2.0,1,-0.031114932358035086,-0.03511493235803509
2020-04-24,1,0.0,1,-0.019311183106547114,-0.023311183106547114
2020-05-08,3,1.0,3,-0.01230842644854683,-0.013641759781880165
2020-05-15,3,0.0,3,-0.01668043952164703,-0.01801377285498036
2020-05-22,5,0.5,5,-0.007370328271300775,-0.008170328271300776
2020-05-29,8,0.7692307692307693,8,-0.010819768101792415,-0.011319768101792416
2020-06-05,8,0.0,8,-0.0063592083913001085,-0.006859208391300109
2020-06-12,8,0.5,8,-0.007028793962344321,-0.007528793962344321
2020-06-19,8,0.5,8,-0.010156746556179291,-0.010656746556179292
2020-06-26,8,0.25,8,0.0007156280184465735,0.0002156280184465731
2020-07-03,8,0.25,8,-0.0015020945820310994,-0.0020020945820311
2020-07-10,8,0.5,8,-0.00342858909298982,-0.00392858909298982
2020-07-17,8,0.5,8,-0.004875734679255922,-0.005375734679255922
2020-07-24,8,0.5,8,-0.007028216206293569,-0.00752821620629357
2020-07-31,8,0.25,8,-0.0019477200941640516,-0.002447720094164052
2020-08-07,8,0.25,8,0.0021491566606297308,0.0016491566606297303
2020-08-14,8,0.5,8,-0.002947210050911253,-0.0034472100509112535
2020-08-21,7,0.4,7,-0.011398990433127724,-0.011970419004556294
2020-08-28,8,0.6666666666666666,8,-0.00722595511638352,-0.0077259551163835205
2020-09-04,8,0.25,8,-0.012821496102674801,-0.013321496102674801
2020-09-11,8,0.25,8,-0.0005280564844621916,-0.001028056484462192
2020-09-18,8,0.25,8,-0.0025479433990850953,-0.0030479433990850957
2020-09-25,8,0.25,8,0.007033845537146616,0.006533845537146615
2020-10-09,8,0.5,8,0.007268272247783175,0.006768272247783175
2020-10-16,8,0.25,8,0.016546746357377407,0.016046746357377406
2020-10-23,8,0.5,8,-0.000904885847484993,-0.0014048858474849935
2020-10-30,8,0.75,8,0.03535173925255111,0.03485173925255111
2020-11-06,8,0.75,8,-0.002188235695569335,-0.0026882356955693354
2020-11-13,8,0.25,8,0.005062919219219197,0.004562919219219197
2020-11-20,8,0.5,8,0.008102130643191152,0.007602130643191152
2020-11-27,8,0.75,8,0.02792523982179093,0.02742523982179093
2020-12-04,8,0.25,8,0.012708195642435832,0.012208195642435832
2020-12-11,8,0.0,8,0.014937039230352944,0.014437039230352944
2020-12-18,8,0.25,8,0.02123331324171837,0.02073331324171837
2021-01-01,8,0.5,8,0.008856654314779916,0.008356654314779915
2021-01-08,8,0.25,8,0.003985393078079186,0.0034853930780791853
2021-01-15,8,0.0,8,0.0025866722227531336,0.002086672222753133
2021-01-22,8,0.25,8,0.008035217733529304,0.007535217733529304
2021-01-29,8,0.0,8,0.00035465584209359857,-0.00014534415790640187
2021-02-05,8,0.25,8,-0.0001436031415150696,-0.00064360314151507
2021-02-12,8,0.0,8,-0.0013560476334417843,-0.0018560476334417847
2021-02-19,8,0.25,8,-0.006441516903608752,-0.006941516903608752
2021-02-26,8,0.25,8,-0.0158400279097628,-0.0163400279097628
2021-03-05,8,0.5,8,-0.003048086184759713,-0.0035480861847597134
2021-03-12,8,0.75,8,-0.004320860851511982,-0.004820860851511982
2021-03-19,8,0.75,8,-0.0011683040153672442,-0.0016683040153672446
2021-03-26,8,0.5,8,0.0009019807769712895,0.0004019807769712891
2021-04-09,8,1.0,8,0.010373276598776293,0.009873276598776293
2021-04-16,8,0.25,8,0.015396277252937546,0.014896277252937545
2021-04-23,8,0.25,8,0.013568455719812467,0.013068455719812466
2021-04-30,8,0.5,8,0.015608403856291003,0.015108403856291003
2021-05-07,8,0.25,8,0.015517820447621178,0.015017820447621177
2021-05-14,8,0.5,8,0.013956382750084262,0.013456382750084261
2021-05-21,8,0.5,8,0.01187136311581749,0.01137136311581749
2021-05-28,8,0.25,8,0.010477190131685021,0.009977190131685021
2021-06-04,8,0.25,8,0.006775238603240946,0.006275238603240946
2021-06-11,8,0.25,8,0.0021234969731784015,0.001623496973178401
2021-06-18,8,0.25,8,-0.004915964489460384,-0.005415964489460384
2021-06-25,8,0.25,8,-0.00824152620494703,-0.008741526204947031
2021-07-02,8,0.5,8,-0.01672049902319986,-0.01722049902319986
2021-07-09,8,0.5,8,-0.010101517324068526,-0.010601517324068527
2021-07-16,8,0.5,8,-0.02149276082547405,-0.02199276082547405
2021-07-23,8,0.25,8,-0.021272191336214608,-0.021772191336214608
2021-07-30,8,1.0,8,-0.005612723148192389,-0.006112723148192389
2021-08-06,8,0.75,8,-0.010463540244589481,-0.010963540244589481
2021-08-13,8,0.5,8,-0.010894882167216735,-0.011394882167216736
2021-08-20,8,0.25,8,0.0006317241442362342,0.0001317241442362338
2021-08-27,8,0.25,8,0.005039236157209859,0.004539236157209858
2021-09-03,8,0.25,8,0.01059627442076487,0.01009627442076487
2021-09-17,8,0.5,8,0.007050594682755901,0.0065505946827559
2021-09-24,8,0.25,8,0.0153150407761692,0.0148150407761692
2021-10-01,8,1.0,8,0.006921170607882679,0.006421170607882679
2021-10-08,8,0.75,8,0.005092799021144762,0.004592799021144761
2021-10-22,8,0.5,8,0.0031331874026675616,0.002633187402667561
2021-10-29,8,0.25,8,0.0012877128866272125,0.0007877128866272121
2021-11-12,8,0.5,8,-0.005342590655505602,-0.005842590655505603
2021-11-26,8,0.5,8,-0.00418828579743126,-0.00468828579743126
2021-12-03,8,0.5,8,-0.01499408803808705,-0.01549408803808705
2021-12-10,8,0.5,8,-0.016183147365177314,-0.016683147365177314
2021-12-17,3,0.9090909090909091,3,-0.02680143558982236,-0.02813476892315569
2021-12-24,2,1.2,2,-0.0419498778726321,-0.043949877872632104
2021-12-31,3,0.4,3,-0.03901476891647763,-0.04034810224981096
2022-01-07,6,0.6666666666666666,6,-0.015109282089529887,-0.015775948756196558
2022-01-14,8,0.5714285714285714,8,-0.010294305735775222,-0.010794305735775223
2022-01-21,1,1.5555555555555556,1,-0.02518431624747486,-0.02918431624747486
2022-01-28,1,0.0,1,-0.02915649396297193,-0.033156493962971934
2022-02-04,4,1.2,4,-0.017949633009778698,-0.0189496330097787
2022-02-11,2,0.6666666666666666,2,-0.020129471965830037,-0.02212947196583004
2022-02-18,8,1.6,8,0.0008823942955881181,0.00038239429558811766
2022-02-25,8,0.75,8,0.006849859698951993,0.006349859698951993
2022-03-04,8,0.5,8,-0.0009696021588142673,-0.0014696021588142677
2022-03-11,8,0.75,8,0.007857590088026153,0.007357590088026153
2022-03-25,8,0.25,8,0.01340443273952742,0.012904432739527419
2022-04-01,8,0.5,8,0.008145657778631327,0.007645657778631326
2022-04-08,8,0.25,8,0.009304852880833533,0.008804852880833533
2022-04-22,8,0.75,8,0.016754256306933626,0.016254256306933626
2022-04-29,8,1.0,8,0.018631001079238027,0.018131001079238027
2022-05-06,8,0.75,8,0.014993877379512494,0.014493877379512493
2022-05-13,8,0.75,8,0.00839998226014707,0.00789998226014707
2022-05-20,8,0.75,8,0.007576496393194382,0.007076496393194381
2022-05-27,8,0.5,8,0.000720646457840507,0.00022064645784050652
2022-06-03,8,0.5,8,0.012429550193802569,0.011929550193802568
2022-06-10,8,0.25,8,0.014439798472547782,0.013939798472547782
2022-06-17,8,0.25,8,0.014082681884540316,0.013582681884540315
2022-06-24,8,0.25,8,0.012248590424563999,0.011748590424563998
2022-07-01,8,0.25,8,0.0017931924476283223,0.0012931924476283219
2022-07-08,8,0.5,8,0.0006707540407119572,0.0001707540407119571
2022-07-15,8,0.5,8,0.002543123948031467,0.0020431239480314667
2022-07-22,8,0.75,8,0.00896736853382138,0.008467368533821379
2022-07-29,8,0.25,8,0.010407588767038983,0.009907588767038983
2022-08-05,8,0.25,8,0.00629437253730003,0.00579437253730003
2022-08-12,8,0.0,8,0.006505318636340934,0.006005318636340934
2022-08-19,8,0.25,8,0.012828444176052306,0.012328444176052306
2022-08-26,8,0.25,8,0.007584275548092878,0.007084275548092878
2022-09-02,8,0.0,8,0.006823098831020918,0.006323098831020918
2022-09-09,8,0.0,8,0.009416490553225326,0.008916490553225326
2022-09-16,8,0.0,8,0.008332129656075077,0.007832129656075076
2022-09-23,8,0.5,8,0.010033286643672146,0.009533286643672145
2022-09-30,8,0.75,8,-0.0005419475944088703,-0.0010419475944088707
2022-10-07,8,0.5,8,0.007223248242472502,0.0067232482424725015
2022-10-14,8,0.75,8,3.3720001341719374e-05,-0.00046627999865828107
2022-10-21,8,0.5,8,0.0004554193132209061,-4.458068677909427e-05
2022-10-28,8,0.5,8,0.011116524431309699,0.010616524431309698
2022-11-04,8,0.25,8,0.02969037578836531,0.029190375788365308
2022-11-11,8,0.5,8,0.029460476080138118,0.028960476080138117
2022-11-18,8,0.25,8,0.030822045871180564,0.030322045871180564
2022-11-25,8,0.5,8,0.02890940726198632,0.02840940726198632
2022-12-02,8,0.25,8,0.03054631822822236,0.03004631822822236
2022-12-09,8,0.25,8,0.027466723635717658,0.026966723635717657
2022-12-16,8,0.5,8,0.02139175857996413,0.02089175857996413
2022-12-23,8,0.25,8,0.02147008005371441,0.02097008005371441
2022-12-30,8,0.25,8,0.02169605715075827,0.02119605715075827
