decision_date,n_pos,ret_excess,ret_excess_net,turnover,hits,equity
2017-12-01,4,-0.015146814739681685,-0.016146814739681686,0.6666666666666666,1,1.1978587526279432
2017-12-08,8,-0.006848426017961234,-0.007348426017961235,0.6666666666666666,2,1.1890563762042894
2017-12-15,8,-0.012163063047913883,-0.012663063047913883,0.25,1,1.1739992803448904
2017-12-22,8,0.018714649276762182,0.018214649276762182,0.75,7,1.1953832654875436
2017-12-29,8,0.008255390351707637,0.007755390351707636,0.5,7,1.2046539293312983
2018-01-05,8,0.002405049460600092,0.0019050494606000917,0.5,5,1.2069488546495808
2018-01-12,8,-0.005883928759887497,-0.006383928759887497,0.5,4,1.1992437791446702
2018-01-19,8,0.001974845263516656,0.0014748452635166553,0.75,5,1.2010124781521436
2018-02-02,8,-0.004416498771613209,-0.004916498771613209,0.75,2,1.1951077017786165
2018-02-09,8,-0.016791092083278683,-0.017291092083278684,0.5,1,1.1744429844577269
2018-02-16,8,-0.012165154703165107,-0.012665154703165107,0.5,2,1.159568482369523
2018-02-23,8,0.002218983816222278,0.0017189838162222776,0.25,5,1.1615617618245178
2018-03-09,8,-0.013040210536421043,-0.013540210536421043,0.75,1,1.1458339710183576
2018-03-16,8,-0.016841005188956315,-0.017341005188956315,0.25,1,1.1259640581812458
2018-03-23,8,-0.023772352131805424,-0.024272352131805425,0.5,0,1.0986342620733138
2018-04-06,8,-0.02082765538865007,-0.02132765538865007,0.5,0,1.0752029691336502
2018-04-13,8,-0.021660147499702964,-0.022160147499702965,0.0,0,1.05137631274553
2018-04-20,8,-0.021102421861313322,-0.021602421861313323,0.0,2,1.0286640381026089
2018-04-27,8,-0.019384439012477814,-0.019884439012477814,0.25,0,1.0082096307726285
2018-05-04,8,-0.02109773431024664,-0.02159773431024664,0.25,0,0.9864345870381693
2018-05-11,8,-0.013483645294797647,-0.013983645294797648,0.5,1,0.9726406356665074
2018-05-18,8,-0.00709619527789071,-0.0075961952778907105,0.25,3,0.9652522674627728
2018-05-25,8,-0.0067966419267054545,-0.007296641926705455,0.0,4,0.9582091672981564
2018-06-01,8,-0.00504555004333479,-0.00554555004333479,0.25,4,0.9528953704089224
2018-06-08,8,-0.00397408453833481,-0.0044740845383348105,0.25,3,0.9486320359655249
2018-06-15,8,-0.005399893126624561,-0.005899893126624561,0.5,3,0.9430352083368361
2018-06-22,8,-0.006085444732875034,-0.006585444732875034,0.25,3,0.9368249020911785
2018-06-29,8,-0.0039029552435028425,-0.004402955243502843,0.0,3,0.9327001039762721
2018-07-06,8,0.0055272711961370236,0.005027271196137023,0.5,4,0.937389040343626
2018-07-13,8,0.011571749932205444,0.011071749932205444,0.5,5,0.9477675773875007
2018-07-20,8,0.02208442836243657,0.02158442836243657,0.25,6,0.9682245987658612
2018-07-27,8,0.008098794405656098,0.007598794405656098,0.75,5,0.9755819384303819
2018-08-03,8,0.0073723311645406825,0.006872331164540682,0.25,4,0.98228646058942
2018-08-10,8,0.0010042296432395126,0.0005042296432395121,0.25,4,0.9827817585410021
2018-08-17,8,0.006420899810838376,0.005920899810838376,0.25,5,0.9886007108692431
2018-08-24,8,0.0023614025901008556,0.0018614025901008552,0.25,3,0.9904408947930307
2018-08-31,8,0.005320397053295775,0.004820397053295775,0.5,3,0.9952152131637547
2018-09-07,8,0.006694813112381889,0.006194813112381889,0.0,4,1.0013803854159036
2018-09-14,8,0.006528384300007517,0.006028384300007517,0.25,4,1.0074170912096803
2018-09-21,8,0.007162511185506523,0.006662511185506523,0.5,6,1.0141290188483352
2018-09-28,8,0.012421642287575738,0.011921642287575737,0.5,6,1.026219102244495
2018-10-05,8,0.002742428004804759,0.0022424280048047585,0.25,5,1.0285203246984338
2018-10-12,8,-0.0038270333060779205,-0.004327033306077921,0.5,4,1.0240698829974857
2018-10-19,8,0.0028428321653466426,0.002342832165346642,0.5,5,1.026469106858935
