date,usd_inr
2017-03-20,65.4681015
2017-03-21,65.33529663
2017-03-22,65.49500275
2017-03-23,65.36499786
2017-03-24,65.44439697
2017-03-27,65.39309692
2017-03-28,65.04499817
2017-03-29,65.11000061
2017-03-30,64.77999878
2017-03-31,64.79000092
2017-04-03,64.79669952
2017-04-04,64.87750244
2017-04-05,65.05000305
2017-04-06,65.04000092
2017-04-07,64.58000183
2017-04-10,64.26000214
2017-04-11,64.57499695
2017-04-12,64.62999725
2017-04-13,64.5
2017-04-14,64.44999695
2017-04-17,64.4536972
2017-04-18,64.40830231
2017-04-19,64.56999969
2017-04-20,64.646698
2017-04-21,64.66000366
2017-04-24,64.63999939
2017-04-25,64.38999939
2017-04-26,64.34999847
2017-04-27,64.01999664
2017-04-28,64.05999756
2017-05-01,64.25830078
2017-05-02,64.18000031
2017-05-03,64.06999969
2017-05-04,64.20999908
2017-05-05,64.16999817
2017-05-08,64.30799866
2017-05-09,64.41179657
2017-05-10,64.63999939
2017-05-11,64.55000305
2017-05-12,64.36000061
2017-05-15,64.16549683
2017-05-16,64.03829956
2017-05-17,63.90000153
2017-05-18,64.23000336
2017-05-19,64.87110138
2017-05-22,64.44850159
2017-05-23,64.50019836
2017-05-24,64.8852005
2017-05-25,64.76010132
2017-05-26,64.54540253
2017-05-29,64.51319885
2017-05-30,64.50859833
2017-05-31,64.61859894
2017-06-01,64.50009918
2017-06-02,64.37229919
2017-06-05,64.40499878
2017-06-06,64.34400177
2017-06-07,64.42050171
2017-06-08,64.41829681
2017-06-09,64.24389648
2017-06-12,64.3769989
2017-06-13,64.46910095
2017-06-14,64.35749817
2017-06-15,64.165802
2017-06-16,64.55999756
2017-06-19,64.39499664
2017-06-20,64.48760223
2017-06-21,64.53050232
2017-06-22,64.54160309
2017-06-23,64.59100342
2017-06-26,64.4980011
2017-06-27,64.4213028
2017-06-28,64.52480316
2017-06-29,64.51190186
2017-06-30,64.78510284
2017-07-03,64.60679626
2017-07-04,64.84269714
2017-07-05,64.76889801
2017-07-06,64.79139709
2017-07-07,64.71330261
2017-07-10,64.61170197
2017-07-12,64.52559662
2017-07-13,64.36499786
2017-07-14,64.42579651
2017-07-17,64.26730347
2017-07-18,64.33000183
2017-07-19,64.3062973
2017-07-20,64.26329803
2017-07-21,64.32499695
2017-07-24,64.46109772
2017-07-25,64.36509705
2017-07-26,64.4469986
2017-07-27,64.34470367
2017-07-28,64.18499756
2017-07-31,64.12349701
