date,tri
2017-10-03,10221.75
2017-10-04,10274.0498
2017-10-05,10255.5498
2017-10-06,10347.65039
2017-10-09,10357.9502
2017-10-10,10392
2017-10-11,10353.90039
2017-10-12,10469.2998
2017-10-13,10534.59961
2017-10-16,10595.15039
2017-10-17,10605.7998
2017-10-18,10582.34961
2017-10-19,10517.2998
2017-10-23,10557.9502
2017-10-24,10574.75
2017-10-25,10672
2017-10-26,10720.4502
2017-10-27,10714
2017-10-30,10767.84961
2017-10-31,10740.84961
2017-11-01,10847.90039
2017-11-02,10839.40039
2017-11-03,10866.4502
2017-11-06,10878.15039
2017-11-07,10762.40039
2017-11-08,10707.5498
2017-11-09,10723.65039
2017-11-10,10729.5498
2017-11-13,10632.65039
2017-11-14,10593.7998
2017-11-15,10514.90039
2017-11-16,10618.4502
2017-11-17,10701.2998
2017-11-20,10716.40039
2017-11-21,10744
2017-11-22,10755.40039
2017-11-23,10760.34961
2017-11-24,10803.15039
2017-11-27,10816.2002
2017-11-28,10792.59961
2017-11-29,10784.40039
2017-11-30,10650.75
2017-12-01,10542.0498
2017-12-04,10548.5498
2017-12-05,10541.2998
2017-12-06,10459.7002
2017-12-07,10594.59961
2017-12-08,10698.09961
2017-12-11,10752.59961
2017-12-12,10663.5498
2017-12-13,10605.65039
2017-12-14,10658.40039
2017-12-15,10743.65039
2017-12-18,10807.84961
2017-12-19,10897.5498
2017-12-20,10881.90039
2017-12-21,10886.34961
2017-12-22,10940.65039
2017-12-26,10982.0498
2017-12-27,10937.84961
2017-12-28,10927.0498
2017-12-29,10985.15039
2018-01-01,10897.75
2018-01-02,10899.2998
2018-01-03,10910.0498
2018-01-04,10982.15039
2018-01-05,11051.25
2018-01-08,11120.5498
2018-01-09,11125
2018-01-10,11117.4502
2018-01-11,11132.40039
2018-01-12,11159.09961
2018-01-15,11207.75
2018-01-16,11142.7998
2018-01-17,11232.75
2018-01-18,11234.5
2018-01-19,11315.75
2018-01-22,11391.2002
2018-01-23,11506.65039
2018-01-24,11497.4502
2018-01-25,11459.0498
2018-01-29,11505.4502
2018-01-30,11424.59961
2018-01-31,11393.5498
2018-02-01,11385.15039
2018-02-02,11111.2002
2018-02-05,11023.84961
2018-02-06,10851.65039
2018-02-07,10844.7002
2018-02-08,10958.9502
2018-02-09,10846.09961
2018-02-12,10945.15039
2018-02-14,10908.15039
2018-02-15,10932.0498
2018-02-16,10831.34961
2018-02-19,10748.34961
2018-02-20,10740
2018-02-21,10765.5
2018-02-22,10737.34961
2018-02-23,10857.84961
2018-02-26,10953.7998
2018-02-27,10922.75
2018-02-28,10861.40039
2018-03-01,10820
2018-03-05,10714.59961
2018-03-06,10603.09961
2018-03-07,10501.40039
2018-03-08,10578
2018-03-09,10564.5498
2018-03-12,10747.65039
2018-03-13,10772.0498
2018-03-14,10760
2018-03-15,10716.0498
2018-03-16,10556.2002
2018-03-19,10444.0498
2018-03-20,10478.15039
2018-03-21,10511.75
2018-03-22,10470.40039
2018-03-23,10357.59961
2018-03-26,10497.5498
2018-03-27,10556.59961
2018-03-28,10478.40039
2018-04-02,10596
2018-04-03,10643.90039
2018-04-04,10523.59961
2018-04-05,10726.25
2018-04-06,10750.34961
2018-04-09,10792.59961
2018-04-10,10810.4502
2018-04-11,10826.15039
2018-04-12,10860.34961
2018-04-13,10879.34961
2018-04-16,10928.9502
2018-04-17,10950.0498
2018-04-18,10928.4502
2018-04-19,10974.75
2018-04-20,10966.84961
2018-04-23,10993.2998
2018-04-24,11022.34961
2018-04-25,10980.5498
2018-04-26,11018.75
2018-04-27,11095
2018-04-30,11145.90039
2018-05-02,11105.90039
2018-05-03,11051.09961
2018-05-04,10986.5
2018-05-07,11085.0498
2018-05-08,11082.2002
2018-05-09,11095
2018-05-10,11052.5
2018-05-11,11131.9502
2018-05-14,11124.09961
2018-05-15,11113.7002
2018-05-16,11058.7002
2018-05-17,11006.90039
2018-05-18,10908.0498
2018-05-21,10814.59961
2018-05-22,10852.7998
2018-05-23,10750.5498
2018-05-24,10827.25
2018-05-25,10934
2018-05-28,11033.5498
2018-05-29,10983.2998
2018-05-30,10961.59961
2018-05-31,11064.15039
2018-06-01,11013.84961
2018-06-04,10940.0498
2018-06-05,10892.84961
2018-06-06,10997.2002
2018-06-07,11091.9502
2018-06-08,11098.25
2018-06-11,11116.2002
2018-06-12,11176.7002
2018-06-13,11185.90039
2018-06-14,11139.9502
2018-06-15,11136.2998
2018-06-18,11112.90039
2018-06-19,11021.9502
2018-06-20,11076.0498
2018-06-21,11039.9502
2018-06-22,11119.65039
2018-06-25,11045.4502
2018-06-26,11054.09961
2018-06-27,10946.7002
2018-06-28,10855
2018-06-29,10993.4502
2018-07-02,10929.84961
2018-07-03,10974.2002
2018-07-04,11033
2018-07-05,11008.59961
2018-07-06,11037.2002
2018-07-09,11119.5498
2018-07-10,11218.65039
2018-07-11,11206.84961
2018-07-12,11269.7002
2018-07-13,11258.7002
2018-07-16,11151.09961
2018-07-17,11230.7002
2018-07-18,11189.09961
2018-07-19,11160.5
2018-07-20,11215.7998
2018-07-23,11306.9502
2018-07-24,11389.2002
2018-07-25,11385.5
2018-07-26,11431.15039
2018-07-27,11542.34961
2018-07-30,11594.75
2018-07-31,11633.84961
2018-08-01,11629.65039
2018-08-02,11535.59961
2018-08-03,11648.84961
2018-08-06,11674.25
2018-08-07,11675.5
2018-08-08,11731.75
2018-08-09,11756.15039
2018-08-10,11707.34961
2018-08-13,11624.65039
2018-08-14,11703.40039
2018-08-16,11647.75
2018-08-17,11747.2002
2018-08-20,11838.15039
2018-08-21,11862.09961
2018-08-23,11881.40039
2018-08-24,11856.2002
2018-08-27,11989.34961
2018-08-28,12028.2998
2018-08-29,11998.59961
2018-08-30,11991.15039
2018-08-31,12003.09961
2018-09-03,11904.34961
2018-09-04,11798.9502
2018-09-05,11751.0498
2018-09-06,11815.40039
2018-09-07,11879.90039
2018-09-10,11717.9502
2018-09-11,11555.2002
2018-09-12,11635.2002
2018-09-14,11791.7002
2018-09-17,11656.5
2018-09-18,11546.15039
2018-09-19,11499.84961
2018-09-21,11387.5498
2018-09-24,11185.5498
2018-09-25,11287.59961
2018-09-26,11279.5
2018-09-27,11186.7002
2018-09-28,11126.40039
2018-10-01,11197.0498
2018-10-03,11045.7998
2018-10-04,10794.2998
2018-10-05,10510.0498
2018-10-08,10523.7998
2018-10-09,10473.5498
2018-10-10,10657.7998
2018-10-11,10432.0498
2018-10-12,10671.2998
2018-10-15,10712.59961
2018-10-16,10796.09961
2018-10-17,10648.7002
2018-10-19,10504.0498
2018-10-22,10445.84961
2018-10-23,10341.5498
2018-10-24,10415.40039
2018-10-25,10307.7002
2018-10-26,10225.2998
2018-10-29,10452.7998
2018-10-30,10413.59961
2018-10-31,10604.59961
2018-11-01,10607.59961
2018-11-02,10782.2998
2018-11-05,10761
2018-11-06,10758.4502
2018-11-07,10827.65039
2018-11-09,10823.2998
2018-11-12,10715.0498
2018-11-13,10807.2998
2018-11-14,10803.15039
2018-11-15,10844.59961
2018-11-16,10908.2002
2018-11-19,10988.15039
2018-11-20,10875
2018-11-21,10836.2998
2018-11-22,10761.40039
2018-11-26,10856.84961
2018-11-27,10905.84961
2018-11-28,10940.25
2018-11-29,11065.90039
2018-11-30,11092.25
2018-12-03,11103.2002
2018-12-04,11086.40039
2018-12-05,10989.15039
2018-12-06,10805.84961
2018-12-07,10894.09961
2018-12-10,10686.25
2018-12-11,10761.75
2018-12-12,10960.4502
2018-12-13,11023.0498
2018-12-14,11040.2998
2018-12-17,11125.75
2018-12-18,11150.90039
2018-12-19,11223.40039
2018-12-20,11201.34961
2018-12-21,11005.84961
2018-12-24,10904.7002
2018-12-26,10968.84961
2018-12-27,11015.7998
2018-12-28,11101.65039
2018-12-31,11110.15039
2019-01-01,11148.7998
2019-01-02,11032
2019-01-03,10914.7998
2019-01-04,10966.15039
2019-01-07,11005.09961
2019-01-08,11031.2998
2019-01-09,11078
2019-01-10,11054.4502
2019-01-11,11025.84961
2019-01-14,10965.0498
2019-01-15,11107.75
2019-01-16,11111.65039
2019-01-17,11123.90039
2019-01-18,11109.5
2019-01-21,11153.34961
2019-01-22,11124.34961
2019-01-23,11034.7998
2019-01-24,11049.0498
2019-01-25,10968.2998
2019-01-28,10836.65039
2019-01-29,10829.9502
2019-01-30,10829.5
2019-01-31,10996.7998
2019-02-01,11066.7002
2019-02-04,11070.4502
2019-02-05,11079.65039
2019-02-06,11206
2019-02-07,11229.0498
2019-02-08,11094.09961
2019-02-11,11030
2019-02-12,10971.40039
2019-02-14,10888.40039
2019-02-15,10845.84961
2019-02-18,10761.2002
2019-02-19,10731.09961
2019-02-20,10865.09961
2019-02-21,10925.0498
2019-02-22,10937.34961
2019-02-25,11021.75
2019-02-26,10981.5498
2019-02-27,10961.7998
2019-02-28,10959.90039
2019-03-01,11040.5498
2019-03-05,11177.2002
2019-03-06,11246.2002
2019-03-07,11244.0498
2019-03-08,11225
2019-03-11,11375.7002
2019-03-12,11499.9502
2019-03-13,11527.2002
2019-03-14,11522.90039
2019-03-15,11595.0498
2019-03-18,11629.75
2019-03-19,11696.5
2019-03-20,11681.2998
2019-03-22,11613.5498
2019-03-25,11504.75
2019-03-26,11632.65039
2019-03-27,11595.65039
2019-03-28,11719.34961
2019-04-01,11832.65039
2019-04-02,11861.40039
2019-04-03,11794.59961
2019-04-04,11753.5
2019-04-05,11820.09961
2019-04-08,11760.09961
2019-04-09,11825.65039
2019-04-10,11743.90039
2019-04-11,11760
2019-04-12,11807.84961
2019-04-15,11856.4502
2019-04-16,11950.0498
2019-04-18,11913.34961
2019-04-22,11745.90039
2019-04-23,11727.65039
2019-04-24,11869.5498
2019-04-25,11787.40039
2019-04-26,11886.7002
2019-04-30,11874.25
2019-05-02,11845.59961
2019-05-03,11828.0498
2019-05-06,11708.84961
2019-05-07,11610.09961
2019-05-08,11470.7998
2019-05-09,11415.90039
2019-05-10,11391.84961
